,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
23,9/14/2022,at DeSales,L,1-2,(2-3),,148,Noah Pietila (2) (Taylan Akdag),msoc
24,9/17/2022,vs McDaniel,W,3-1,"(3-3, 1-0 CC)",1-0 CC,140,Chris Richards (3) Taylan Akdag (3) Chris Richards (4) (Tarin Morris),msoc
25,9/20/2022,vs Misericordia,T,1-1,(3-3-1),,112,Elie Khalil (1) (Zack Mikuta),msoc
26,9/24/2022,at Washington College,T,1-1,"(3-3-2, 1-0-1)",1-0-1,319,Trevor Mikuta (0) (Brandin Osborne),msoc
27,9/28/2022,at Franklin & Marshall,L,1-2,"(3-4-2, 1-1-1 CC)",1-1-1 CC,66,Chris Richards (1) (Jason Edelstein),msoc
28,10/1/2022,vs Haverford,T,0-0,"(3-4-3, 1-1-2 CC)",1-1-2 CC,50,,msoc
29,10/5/2022,at Moravian,W,2-0,(4-4-3),,211,Kevin Adams (1) (Taylan Akdag)  Luke Feeney (2) (Tarin Morris),msoc
30,10/8/2022,vs Swarthmore,W,3-0,"(5-4-3, 2-1-2 CC)",2-1-2 CC,207,Chris Richards (6) (Andrew Gaines)  Chris Richards (7) Taylan Akdag (4) (Greyson King),msoc
31,10/12/2022,at Elizabethtown,L,0-1,(5-5-3),,80,,msoc
32,10/15/2022,at Dickinson,W,5-1,"(6-5-3, 3-1-2)",3-1-2,90,Chris Richards (8) Chris Richards (9) Chris Richards (10) Francois D'Elia (1) (Kevin Adams)  Jason Edelstein (1) (Tarin Morris),msoc
33,10/19/2022,at Ursinus,T,3-3,"(6-5-4, 3-1-3)",3-1-3,109,Zack Mikuta (0) (Taylan Akdag)  Taylan Akdag (0) Jason Edelstein (2) (Jake Mendelson),msoc
34,10/22/2022,vs Johns Hopkins,T,2-2,"(6-5-5, 3-1-4 CC)",3-1-4 CC,226,Greyson King (1) (Taylan Akdag)  Luke Feeney (3) (Elie Khalil),msoc
35,10/29/2022,at Gettysburg,T,1-1,"(6-5-6, 3-1-5)",3-1-5,272,Jason Edelstein (3) (Noah Pietila),msoc
36,11/1/2022,at Gettysburg,W,1-0,(7-5-6),,221,Jake Mendelson (1) (Andrew Gaines),msoc
37,11/4/2022,at Franklin & Marshall,W,2-0,"(8-5-6, 3-1-5)",3-1-5,135,Trevor Mikuta (1) (Taylan Akdag)  Chris Richards (1) (David Goldstein),msoc
38,11/6/2022,at Johns Hopkins,T,0-0,(8-5-7),,400,,msoc
39,11/12/2022,at CWRU,T,0-0,(8-5-8),,111,,msoc
40,11/13/2022,at Wash. & Lee,L,2-5,(8-6-8),,212,"Greyson King (2) (Chris Richards , Kevin Adams)  Greyson King (3) (Taylan Akdag)",msoc
41,9/4/2021,at Scranton,W,2-0,"(1-0-0, 0-0-0)",0-0-0,174,Greyson King (1) (Chris Richards)  Greyson King (2) (Zack Mikuta),msoc
