,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
163,Muhlenberg,,-,,673-1647,0.409,172-484,0.355,319-456,0.7,347,795,1142,43.9,345,424,332,137,199,1837,70.7,wbball
164,Opponents,,-,,511-1599,0.32,120-458,0.262,252-373,0.676,337,673,1010,38.8,429,310,392,117,162,1394,53.6,wbball
165,vs Moravian,11/15/16,50-58,L,20-86,0.233,1-12,0.083,9-16,0.563,21,28,49,49.0,18,7,9,9,13,50,50.0,wbball
166,vs Immaculata,11/18/16,78-48,W,30-92,0.326,6-23,0.261,12-18,0.667,28,30,58,53.5,19,19,12,9,19,78,64.0,wbball
167,vs Widener,11/19/16,75-38,W,28-76,0.368,9-18,0.5,10-16,0.625,19,37,56,54.3,15,18,19,5,16,75,67.7,wbball
168,vs Bryn Mawr,11/22/16,87-44,W,39-92,0.424,3-21,0.143,6-9,0.667,23,31,54,54.3,16,25,11,6,21,87,72.5,wbball
169,vs Swarthmore,11/29/16,74-64,W,29-91,0.319,4-14,0.286,12-20,0.6,29,27,56,54.6,13,20,16,6,16,74,72.8,wbball
170,at Dickinson,12/01/16,71-74,L,28-93,0.301,12-51,0.235,3-10,0.3,28,27,55,54.7,26,12,16,6,9,71,72.5,wbball
171,vs Johns Hopkins,12/03/16,86-72,W,30-65,0.462,8-16,0.5,18-24,0.75,13,32,45,53.3,18,25,13,1,9,86,74.4,wbball
172,at Haverford,12/07/16,60-52,W,20-60,0.333,6-17,0.353,14-22,0.636,16,21,37,51.3,13,13,7,1,11,60,72.6,wbball
173,vs Ursinus,12/10/16,82-65,W,31-62,0.5,7-14,0.5,13-19,0.684,9,26,35,49.4,18,25,13,8,17,82,73.7,wbball
174,at Elizabethtown,12/17/16,49-57,L,18-53,0.34,2-8,0.25,11-15,0.733,12,20,32,47.7,19,8,18,1,10,49,71.2,wbball
175,vs Washington College,01/07/17,60-66,L,23-83,0.277,2-14,0.143,12-17,0.706,28,23,51,48.0,17,12,6,5,4,60,70.2,wbball
176,at Franklin & Marshall,01/10/17,72-58,W,25-79,0.316,1-10,0.1,21-23,0.913,20,30,50,48.2,22,13,13,3,20,72,70.3,wbball
177,at Gettysburg,01/12/17,61-67,L,24-74,0.324,6-18,0.333,7-11,0.636,16,34,50,48.3,19,10,13,3,6,61,69.6,wbball
