,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
113,at Skidmore,11/10/18,69-75,L,26-67,0.388,15-38,0.395,2-8,0.25,5,30,35,35.0,22,18,8,6,4,69,69.0,mbball
114,at King's (Pa.),11/13/18,62-53,W,20-47,0.426,7-25,0.28,15-21,0.714,6,41,47,41.0,18,10,30,4,8,62,65.5,mbball
115,vs Juniata,11/16/18,59-65,L,17-59,0.288,12-42,0.286,13-19,0.684,11,25,36,39.3,23,13,21,4,8,59,63.3,mbball
116,vs Goucher,11/17/18,82-69,W,29-69,0.42,13-39,0.333,11-15,0.733,8,37,45,40.8,9,17,11,9,6,82,68.0,mbball
117,at Dickinson,11/20/18,63-101,L,24-74,0.324,9-34,0.265,6-11,0.545,14,22,36,39.8,8,11,16,3,4,63,67.0,mbball
118,at Haverford,11/29/18,96-58,W,33-69,0.478,16-40,0.4,14-16,0.875,5,37,42,40.2,19,14,9,6,4,96,71.8,mbball
119,at McDaniel,12/01/18,65-52,W,25-54,0.463,11-29,0.379,4-6,0.667,6,34,40,40.1,11,11,15,3,1,65,70.9,mbball
120,vs Washington College,12/05/18,78-68,W,24-53,0.453,15-30,0.5,15-20,0.75,8,29,37,39.8,19,18,17,2,3,78,71.8,mbball
121,vs Swarthmore,12/08/18,65-83,L,20-57,0.351,4-24,0.167,21-28,0.75,6,29,35,39.2,14,9,12,5,5,65,71.0,mbball
122,vs Moravian,12/15/18,75-79,L,27-59,0.458,5-18,0.278,16-27,0.593,8,29,37,39.0,17,12,14,5,7,75,71.4,mbball
123,vs DeSales,12/18/18,67-76,L,26-72,0.361,9-30,0.3,6-9,0.667,17,22,39,39.0,18,10,8,4,8,67,71.0,mbball
124,at Delaware Valley,01/04/19,62-57,W,22-50,0.44,6-24,0.25,12-16,0.75,6,29,35,38.7,17,8,15,6,5,62,70.3,mbball
125,at Johns Hopkins,01/08/19,56-52,W,18-51,0.353,9-25,0.36,11-13,0.846,8,33,41,38.8,13,9,16,5,1,56,69.2,mbball
126,vs Franklin & Marshall,01/10/19,56-45,W,22-46,0.478,11-30,0.367,1-3,0.333,5,30,35,38.6,11,15,18,1,3,56,68.2,mbball
127,at Gettysburg,01/12/19,72-78,L,22-54,0.407,9-28,0.321,19-22,0.864,5,28,33,38.2,18,7,13,3,3,72,68.5,mbball
128,at Swarthmore,01/16/19,54-84,L,20-55,0.364,5-23,0.217,9-14,0.643,4,21,25,37.4,6,10,12,6,8,54,67.6,mbball
129,at Washington College,01/21/19,65-74,L,24-62,0.387,5-27,0.185,12-22,0.545,11,25,36,37.3,24,11,15,0,6,65,67.4,mbball
130,vs Ursinus,01/24/19,55-83,L,21-64,0.328,7-33,0.212,6-10,0.6,8,24,32,37.0,5,15,10,6,9,55,66.7,mbball
131,vs McDaniel,01/26/19,71-66,W,26-54,0.481,11-28,0.393,8-10,0.8,7,24,31,36.7,5,13,5,5,3,71,66.9,mbball
132,vs Dickinson,01/30/19,75-59,W,26-59,0.441,13-31,0.419,10-14,0.714,14,28,42,37.0,9,12,17,2,8,75,67.4,mbball
133,vs Johns Hopkins,02/02/19,59-52,W,20-50,0.4,7-26,0.269,12-16,0.75,5,29,34,36.8,10,6,15,5,6,59,67.0,mbball
134,vs Haverford,02/06/19,67-64,W,23-54,0.426,9-30,0.3,12-18,0.667,1,26,27,36.4,11,9,8,4,6,67,67.0,mbball
135,at Franklin & Marshall,02/09/19,70-76,L,26-56,0.464,8-22,0.364,10-11,0.909,7,27,34,36.3,20,9,11,2,4,70,67.1,mbball
136,at Ursinus,02/13/19,78-81,L,30-61,0.492,10-25,0.4,8-10,0.8,8,27,35,36.2,14,11,14,4,6,78,67.5,mbball
137,vs Gettysburg,02/16/19,69-78,L,22-65,0.338,10-30,0.333,15-20,0.75,11,30,41,36.4,13,9,11,6,5,69,67.6,mbball
138,Muhlenberg,,-,,593-1461,0.406,236-731,0.323,268-379,0.707,194,716,910,36.4,354,287,341,106,131,1690,67.6,mbball
139,Opponents,,-,,647-1600,0.404,179-599,0.299,255-365,0.699,274,726,1000,40.0,413,373,294,58,164,1728,69.1,mbball
