,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
130,3/20/2021,at,McDaniel,L,4-5,27,4,12,2,2,0,0,2,0,2,1,1,5,0,0,3,18,5,1,0.444,softball
131,4/3/2021,,Franklin & Marshall,L,0-1,21,0,3,0,0,0,0,1,0,0,0,1,3,0,0,1,21,6,1,0.143,softball
132,4/3/2021,,Franklin & Marshall,L,3-5,27,3,7,3,2,0,0,2,0,2,0,0,0,0,1,3,21,12,0,0.259,softball
133,4/8/2021,at,Ursinus,W,4-1,30,4,10,4,3,0,0,0,0,2,0,0,1,0,0,2,21,4,1,0.333,softball
134,4/8/2021,at,Ursinus,L,3-6,29,3,13,3,2,0,0,0,0,0,0,1,1,0,1,1,16,6,0,0.448,softball
135,4/10/2021,at,Dickinson,L,2-6,25,2,8,1,3,0,0,2,0,1,0,0,2,0,0,2,18,10,1,0.32,softball
136,4/10/2021,at,Dickinson,W,9-8,35,9,13,8,3,1,0,5,0,5,0,0,4,2,0,4,27,15,1,0.371,softball
137,4/17/2021,,McDaniel,W,2-0,24,2,7,2,3,0,0,0,0,1,0,0,0,0,0,4,21,8,0,0.292,softball
138,4/17/2021,,McDaniel,L,4-5,28,4,9,3,1,0,0,1,0,1,1,0,2,0,0,3,21,6,3,0.321,softball
139,4/18/2021,,Gettysburg,W,4-3,29,4,8,4,1,0,0,3,0,0,1,2,1,1,0,3,24,6,0,0.276,softball
140,4/18/2021,,Gettysburg,L,6-8,29,6,8,5,2,1,0,3,0,0,0,0,0,2,0,1,21,9,2,0.276,softball
141,4/24/2021,at,Washington College,L,1-4,27,1,4,1,0,0,0,3,0,1,0,0,0,0,0,7,18,11,3,0.148,softball
142,4/24/2021,at,Washington College,L,3-8,31,3,8,3,1,0,1,2,0,0,0,0,0,0,0,5,18,11,2,0.258,softball
143,5/1/2021,at,Haverford,W,12-4,29,12,11,7,1,0,0,5,0,3,0,0,1,0,0,1,15,7,0,0.379,softball
144,5/1/2021,at,Haverford,W,4-1,27,4,5,4,0,0,3,0,0,0,0,0,0,0,0,3,21,11,0,0.185,softball
145,Total,,,,70-80,493,70,147,57,30,2,5,33,0,19,4,7,21,5,2,56,349,145,19,,softball
146,3/1/2020,vs,Eastern Mennonite,W,10-0,29,10,13,10,3,0,1,0,0,2,1,2,0,0,0,3,15,5,0,0.448,softball
147,3/1/2020,vs,St. Elizabeth,W,11-2,25,11,10,10,1,1,1,4,0,2,0,0,3,0,0,4,15,10,1,0.4,softball
148,3/2/2020,vs,Otterbein,L,1-3,26,1,8,1,0,0,0,1,0,0,0,0,3,0,0,4,21,6,1,0.308,softball
149,3/2/2020,vs,Wesley,L,0-8,13,0,1,0,0,0,0,3,0,0,0,0,3,0,1,4,15,6,0,0.077,softball
150,3/4/2020,vs,William Peace,W,3-2,26,3,5,3,1,1,0,1,0,1,0,3,2,0,0,7,24,7,0,0.192,softball
151,3/6/2020,vs,Rivier,W,3-0,21,3,3,0,0,0,0,2,0,3,0,0,2,0,0,6,21,8,0,0.143,softball
152,3/6/2020,vs,Hilbert,W,7-0,29,7,13,7,1,1,0,0,0,2,0,0,2,0,0,1,21,7,0,0.448,softball
153,3/12/2020,,Cedar Crest,W,9-4,28,9,11,9,2,1,1,3,0,3,0,2,1,0,0,2,21,7,0,0.393,softball
154,Total,,,,44-19,197,44,64,40,8,4,3,14,0,13,1,7,16,0,1,31,153,56,2,,softball
155,3/2/2019,vs,MSOE,L,9-11,33,9,13,9,3,0,1,0,0,0,0,0,0,0,0,5,18,11,3,0.394,softball
156,3/2/2019,vs,Eastern Nazarene,W,4-0,29,4,12,4,2,0,1,0,0,0,0,0,0,1,1,0,21,7,0,0.414,softball
157,3/3/2019,vs,Lebanon Valley,W,7-2,28,7,9,6,5,0,0,2,0,1,0,1,0,1,0,3,21,6,0,0.321,softball
158,3/3/2019,vs,Penn St Brandywine,W,16-10,42,16,19,15,4,0,0,3,0,3,0,1,0,0,1,1,21,4,5,0.452,softball
159,3/5/2019,vs,Thiel,W,8-3,31,8,10,6,0,0,0,5,0,0,1,0,0,0,0,1,21,9,2,0.323,softball
160,3/5/2019,vs,Otterbein,W,1-0,23,1,4,1,0,0,1,0,0,0,0,0,0,0,0,7,21,4,0,0.174,softball
161,3/6/2019,vs,Penn St.-Berks,L,4-6,31,4,9,3,2,0,0,0,0,1,0,0,0,0,0,3,18,9,1,0.29,softball
162,3/6/2019,vs,Rhodes,W,7-1,26,7,9,7,2,0,1,0,0,0,0,1,3,0,0,3,21,5,1,0.346,softball
163,3/8/2019,vs,DeSales,W,8-7,28,8,12,6,0,0,0,5,0,5,0,0,2,0,1,1,21,9,1,0.429,softball
164,3/8/2019,vs,Bridgewater (Va.),W,3-1,27,3,6,2,1,0,0,2,0,1,0,0,0,0,0,1,21,3,3,0.222,softball
165,3/9/2019,vs,Mass.-Dartmouth,W,4-0,28,4,9,3,3,0,0,2,0,1,1,1,1,0,0,1,21,3,1,0.321,softball
166,3/9/2019,vs,St. Joseph's (Bklyn),W,7-6,26,7,9,6,3,0,1,1,0,0,0,1,0,0,0,4,21,15,4,0.346,softball
167,3/17/2019,,Oneonta,W,3-2,22,3,5,3,3,0,0,5,0,0,0,0,1,1,2,1,21,13,1,0.227,softball
168,3/17/2019,,Oneonta,L,2-3,26,2,4,2,0,0,0,9,0,0,0,0,1,0,0,1,21,8,0,0.154,softball
169,3/19/2019,,Misericordia,L,8-10,34,8,13,5,1,0,0,7,0,1,0,1,2,0,1,6,24,8,1,0.382,softball
170,3/19/2019,,Misericordia,W,4-1,26,4,10,4,0,1,0,2,0,1,0,0,2,0,0,4,21,6,0,0.385,softball
171,3/28/2019,,King's,W,3-1,21,3,4,3,2,0,0,1,0,1,0,0,1,0,0,7,21,11,1,0.19,softball
172,3/28/2019,,King's,W,2-1,23,2,6,1,1,0,0,4,0,0,0,0,0,1,0,1,21,5,0,0.261,softball
173,3/30/2019,,Gettysburg,W,2-0,25,2,7,2,2,0,0,0,0,0,0,0,1,0,0,4,21,10,1,0.28,softball
174,3/30/2019,,Gettysburg,L,4-8,32,4,13,4,3,0,0,1,0,1,0,0,0,1,0,5,21,10,1,0.406,softball
175,4/2/2019,,Swarthmore,W,7-0,26,7,8,6,2,1,0,1,0,1,0,0,1,0,0,4,21,8,1,0.308,softball
176,4/2/2019,,Swarthmore,W,2-0,25,2,7,2,1,0,1,1,0,0,1,0,0,0,0,3,21,4,0,0.28,softball
177,4/4/2019,at,Elizabethtown,L,3-8,25,3,4,3,2,0,0,4,0,0,0,0,0,0,0,5,18,7,2,0.16,softball
178,4/4/2019,at,Elizabethtown,W,19-2,36,19,19,16,5,1,0,0,0,0,0,2,0,0,0,2,15,3,0,0.528,softball
179,4/6/2019,at,McDaniel,L,6-9,32,6,11,6,0,0,0,0,0,0,0,1,1,0,0,3,18,13,0,0.344,softball
180,4/6/2019,at,McDaniel,L,7-8,33,7,12,5,2,0,1,1,0,0,0,0,0,1,0,2,20,5,0,0.364,softball
181,4/9/2019,,Haverford,L,1-4,27,1,6,1,0,0,0,1,0,0,0,1,0,0,0,7,21,7,1,0.222,softball
182,4/9/2019,,Haverford,L,4-6,28,4,7,3,2,0,1,0,0,2,0,0,0,0,0,3,21,14,2,0.25,softball
183,4/11/2019,at,Moravian,L,0-3,22,0,3,0,1,0,0,0,0,0,0,0,2,0,0,6,18,10,0,0.136,softball
184,4/11/2019,at,Moravian,L,2-8,26,2,6,2,0,0,0,1,0,0,0,0,1,1,0,6,18,5,2,0.231,softball
185,4/13/2019,at,Washington College,L,3-9,26,3,7,3,0,0,0,3,0,0,1,3,1,1,0,7,18,3,1,0.269,softball
186,4/13/2019,at,Washington College,L,3-4,29,3,7,3,2,0,0,0,0,2,0,1,0,0,0,2,20,11,0,0.241,softball
187,4/16/2019,at,Ursinus,L,2-7,28,2,8,2,3,0,0,1,0,1,0,0,0,0,0,6,18,9,2,0.286,softball
188,4/16/2019,at,Ursinus,L,4-5,29,4,9,4,1,0,1,3,0,4,0,1,0,0,0,1,18,4,0,0.31,softball
189,4/18/2019,,Franklin & Marshall,L,0-8,22,0,4,0,0,0,0,2,0,1,0,2,2,0,0,5,21,13,1,0.182,softball
190,4/18/2019,,Franklin & Marshall,L,1-4,25,1,7,1,2,0,0,2,0,0,1,0,1,0,0,5,21,5,2,0.28,softball
191,4/23/2019,at,Dickinson,L,1-5,24,1,4,1,1,0,0,0,0,0,0,0,1,0,0,8,18,5,2,0.167,softball
192,4/23/2019,at,Dickinson,L,0-1,26,0,5,0,1,0,0,0,0,1,0,0,1,0,0,4,18,5,0,0.192,softball
193,4/25/2019,,Scranton,W,2-1,24,2,4,2,1,0,0,1,0,0,0,1,0,0,0,3,21,9,0,0.167,softball
194,4/25/2019,,Scranton,L,0-2,24,0,3,0,1,0,0,0,0,0,0,0,1,0,0,5,21,4,3,0.125,softball
195,Total,,,,173-167,1098,173,324,152,64,3,9,70,0,28,5,18,26,8,6,146,802,300,45,,softball
196,3/4/2018,vs,WPI,L,4-7,29,4,7,2,1,0,1,6,0,0,0,1,2,0,0,5,18,11,1,0.241,softball
197,3/4/2018,vs,Ohio Northern,L,5-10,29,5,10,4,2,0,0,0,0,0,0,0,1,0,0,6,21,14,0,0.345,softball
198,3/5/2018,vs,John Carroll,W,4-1,32,4,9,4,2,0,0,2,0,1,0,0,0,0,0,1,21,9,0,0.281,softball
199,3/5/2018,vs,Aurora,L,2-6,26,2,5,1,1,0,0,1,0,0,0,0,0,0,1,4,21,12,4,0.192,softball
200,3/7/2018,vs,DeSales,W,13-5,29,13,11,9,0,0,1,10,0,3,1,0,0,0,0,0,18,7,1,0.379,softball
201,3/7/2018,vs,Simmons,W,9-2,32,9,10,7,2,0,0,1,0,4,0,3,0,0,0,1,21,6,2,0.313,softball
202,3/8/2018,vs,Heidelberg,L,3-11,19,3,3,3,0,0,1,1,0,0,0,0,0,0,0,5,15,5,1,0.158,softball
203,3/8/2018,vs,Alfred,L,1-7,29,1,8,1,2,0,0,1,0,0,0,0,1,0,0,5,18,5,4,0.276,softball
204,3/9/2018,vs,Defiance,L,12-13,38,12,15,11,4,0,0,1,0,4,1,1,0,0,0,1,19,12,3,0.395,softball
205,3/9/2018,vs,Emerson,W,9-0,25,9,15,9,1,0,1,2,0,1,0,0,0,1,1,1,15,2,0,0.6,softball
206,3/18/2018,,Oneonta,L,5-6,34,5,12,5,0,1,0,1,0,0,0,0,0,0,0,4,21,12,3,0.353,softball
207,3/18/2018,,Oneonta,W,7-0,24,7,9,5,3,0,0,4,0,1,1,1,0,0,4,2,21,9,0,0.375,softball
208,3/20/2018,at,King's,L,1-9,24,1,8,1,2,0,0,0,0,0,0,0,0,0,0,1,12,7,1,0.333,softball
209,3/20/2018,at,King's,W,9-4,35,9,14,9,5,0,0,2,0,0,0,0,0,0,0,1,21,4,1,0.4,softball
210,3/27/2018,,Haverford,L,5-7,29,5,10,5,2,0,0,0,0,2,0,1,0,2,1,2,21,12,2,0.345,softball
211,3/27/2018,,Haverford,L,4-8,28,4,10,3,1,0,0,3,0,1,0,2,0,1,1,2,21,6,1,0.357,softball
212,4/5/2018,at,Ursinus,W,8-6,32,8,9,5,0,0,0,1,0,4,0,0,1,0,0,1,21,10,2,0.281,softball
213,4/5/2018,at,Ursinus,W,5-4,29,5,10,4,0,2,0,1,0,2,2,1,2,0,0,2,21,5,1,0.345,softball
