,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,FPG,FPS,UP,DN,GB,TO,CTO,DC,team_name
87,3/06/18,vs Wittenberg,W,20-9,20,10,30,35,0.571,32,0.914,1,4,9,1,0,15,12,13,13,wlax
88,3/13/18,Skidmore,L,8-18,8,5,13,25,0.32,19,0.76,0,1,11,0,1,18,19,9,9,wlax
89,3/17/18,at Montclair State,L,6-16,6,0,6,25,0.24,18,0.72,0,5,9,0,0,20,20,6,10,wlax
90,3/20/18,Connecticut College,W,17-11,17,7,24,32,0.531,27,0.844,1,4,8,4,0,13,17,8,21,wlax
91,3/24/18,at Bryn Mawr,W,19-4,19,9,28,36,0.528,29,0.806,1,1,5,0,0,14,10,5,20,wlax
92,3/28/18,at Misericordia,W,14-8,14,6,20,32,0.438,26,0.813,1,3,11,1,0,22,14,7,13,wlax
93,3/31/18,at Gettysburg,L,5-14,5,2,7,16,0.313,11,0.688,0,1,4,0,0,8,11,5,9,wlax
94,4/04/18,Haverford,L,14-17,14,7,21,28,0.5,21,0.75,0,1,7,0,0,18,21,10,18,wlax
95,4/11/18,at Washington College,L,8-10,8,1,9,35,0.229,22,0.629,0,2,7,0,0,21,16,13,14,wlax
96,4/14/18,McDaniel,W,15-6,15,6,21,32,0.469,24,0.75,1,0,3,0,0,26,15,8,10,wlax
97,4/18/18,Swarthmore,L,12-13,12,5,17,30,0.4,21,0.7,0,1,6,0,0,18,17,6,15,wlax
98,4/21/18,at Dickinson,L,9-10,9,2,11,27,0.333,18,0.667,0,4,10,0,0,15,15,1,9,wlax
99,4/25/18,at Ursinus,W,15-7,15,7,22,32,0.469,25,0.781,1,3,6,4,0,21,9,11,10,wlax
100,4/28/18,Franklin & Marshall,L,12-15,12,3,15,32,0.375,24,0.75,0,2,8,1,0,14,12,6,16,wlax
