,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,UP,DN,GB,TO,CTO,Faceoff,PEN-MIN,team_name
171,4/09/14,Haverford,W,11-8,11,8,19,37,0.297,25,0.676,1,3,0,43,16,11,8-12,7-05:00,mlax
172,4/12/14,at McDaniel,L,12-14,12,7,19,38,0.316,25,0.658,0,2,1,25,9,6,9-19,5-05:00,mlax
173,4/23/14,at Dickinson,L,4-17,4,1,5,27,0.148,15,0.556,0,0,0,29,22,7,6-18,2-01:30,mlax
174,4/26/14,Ursinus,L,9-16,9,6,15,27,0.333,18,0.667,0,3,0,23,11,6,4-23,6-05:00,mlax
175,,Muhlenberg,,97-188,97,57,154,430,0.226,259,0.602,2,21,1,383,237,85,115-206,65-57:00,mlax
176,,Opponents,,188-97,188,88,276,610,0.308,374,0.613,12,26,1,489,224,106,206-115,57-44:30,mlax
177,2/20/13,at Montclair State,L,6-9,6,1,7,32,0.188,19,0.594,0,0,0,39,28,10,17-1,5-03:30,mlax
178,2/23/13,at York (Pa.),L,10-15,10,6,16,37,0.27,21,0.568,0,1,0,35,23,11,16-13,5-04:00,mlax
179,2/27/13,Susquehanna,W,7-6,7,4,11,43,0.163,22,0.512,1,1,0,43,16,11,11-6,5-04:00,mlax
180,3/02/13,at Scranton,W,6-3,6,1,7,31,0.194,17,0.548,1,0,0,46,17,8,7-6,4-01:30,mlax
181,3/06/13,at Stevens,L,10-11,10,6,16,35,0.286,20,0.571,0,1,0,42,16,7,12-12,7-07:30,mlax
182,3/09/13,St. Mary's (Md.),W,10-6,10,5,15,32,0.313,21,0.656,1,2,0,33,17,6,12-8,5-05:00,mlax
183,3/16/13,at Richard Stockton,W,18-12,18,10,28,55,0.327,29,0.527,1,2,1,40,20,10,20-14,9-09:00,mlax
184,3/23/13,at Franklin & Marshall,L,2-6,2,2,4,30,0.067,13,0.433,0,0,0,24,20,7,6-6,2-02:00,mlax
185,3/27/13,Swarthmore,W,15-6,15,8,23,54,0.278,27,0.5,1,0,0,45,13,7,16-8,1-01:00,mlax
186,3/30/13,Gettysburg,W,10-9,10,5,15,51,0.196,26,0.51,1,0,0,33,9,8,15-7,2-02:00,mlax
187,4/06/13,at Washington College,L,4-13,4,4,8,31,0.129,22,0.71,0,0,0,29,18,3,3-17,8-07:00,mlax
188,4/10/13,at Haverford,L,5-7,5,3,8,31,0.161,15,0.484,0,0,0,29,22,8,9-7,4-03:00,mlax
189,4/13/13,McDaniel,L,13-14,13,5,18,50,0.26,26,0.52,0,2,0,38,14,9,12-16,11-11:00,mlax
190,4/24/13,Dickinson,L,9-15,9,6,15,44,0.205,17,0.386,0,1,0,31,15,10,12-16,3-03:00,mlax
191,4/27/13,at Ursinus,L,10-11,10,4,14,48,0.208,30,0.625,0,2,0,38,11,8,13-10,2-01:30,mlax
192,,Muhlenberg,,135-143,135,70,205,604,0.224,325,0.538,6,12,1,545,259,123,181-147,73-65:00,mlax
193,,Opponents,,143-135,143,69,212,571,0.25,323,0.566,9,21,0,473,258,112,147-181,60-49:30,mlax
