,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
59,10/9/2019,vs Bryn Mawr,L,1-2,(7-4 (2-3 CC)),,100,Maleah Hess (4) (Sarah Raab),fhockey
60,10/12/2019,at Johns Hopkins,L,1-4,"(7-5, 2-4 CC)",2-4 CC,150,Sophie Beeler (0) (Alexandra Gann),fhockey
61,10/17/2019,vs Ursinus,L,0-3,(7-6 (2-5 CC)),,50,,fhockey
62,10/22/2019,vs Gwynedd Mercy,W,1-0,(8-6),,30,Rachel Richards (6) (Megan Webber),fhockey
63,10/26/2019,at McDaniel,W,2-0,"(9-6, 3-5 CC)",3-5 CC,122,Morgan Tietz (2) Morgan Tietz (4) (Tyler Wilson),fhockey
64,10/29/2019,at Swarthmore,L,2-3,"(9-7, 3-6)",3-6,99,Morgan Tietz (4) Marlee Siegel (1),fhockey
65,11/2/2019,vs Washington College,W,2-1,"(10-7, 4-6)",4-6,92,Kristin Oberg (3) (Alexandra Gann)  Rachel Richards (7) (Sarah Raab),fhockey
66,8/31/2018,vs Scranton,L,1-2,(0-1),,145,Megan Webber (1) (Jessica Oxer),fhockey
67,9/5/2018,at DeSales University,L,1-4,(0-2),,150,Rachel Richards (1) (Maleah Hess),fhockey
68,9/7/2018,vs Elizabethtown,L,1-2,(0-3),,0,Courtney Allen (1) (Jordyn Kamis),fhockey
69,9/11/2018,at King's (Pa.),L,1-2,(0-4),,57,Megan Webber (2) (Courtney Allen),fhockey
70,9/15/2018,vs Franklin &amp; Marshall,W,1-0,"(1-4, 1-0)",1-0,100,Stephi Rydgren (1) (Megan Webber),fhockey
71,9/19/2018,vs Haverford,W,1-0,"(2-4, 1-0 CC)",1-0 CC,84,Morgan Tietz (1) (Courtney Allen),fhockey
72,9/22/2018,at Dickinson,W,2-1,"(3-4, 3-0)",3-0,300,Stephi Rydgren (0) (Emily Davis)  Stephi Rydgren (0),fhockey
73,9/28/2018,vs Montclair St.,L,1-2,(3-5),,100,Stephi Rydgren (3) (Sarah Raab),fhockey
74,10/3/2018,at Bryn Mawr,W,2-1,"(4-5, 4-0)",4-0,57,Jordyn Kamis (1) (Rachel Richards)  Jessica Oxer (1),fhockey
75,10/6/2018,vs Johns Hopkins,L,2-5,"(4-6, 4-1 CC)",4-1 CC,110,Megan Webber (0) (Emily Davis)  Sarah Raab (0) (Morgan Tietz),fhockey
76,10/10/2018,at Ursinus,L,1-4,"(4-7, 4-2)",4-2,211,Sarah Raab (2) (Stephi Rydgren),fhockey
77,10/13/2018,at Gettysburg,W,1-0,"(5-7, 5-2 CC)",5-2 CC,68,Stephi Rydgren (0) (Megan Webber),fhockey
78,10/16/2018,vs Moravian,W,3-2,(6-7),,73,Jordyn Kamis (2) (Stephi Rydgren)  Sarah Raab (3) (Stephi Rydgren)  Courtney Allen (2),fhockey
79,10/19/2018,vs McDaniel,W,1-0,"(7-7, 6-2)",6-2,111,Stephi Rydgren (5) (Morgan Tietz),fhockey
80,10/24/2018,vs Swarthmore,W,1-0,"(8-7, 7-2)",7-2,51,Courtney Allen (3) (Rachel Richards),fhockey
81,10/27/2018,at Washington College,W,3-2,"(9-7, 8-2)",8-2,130,Rachel Richards (2) Stephi Rydgren (6) Stephi Rydgren (7) (Megan Webber),fhockey
82,10/31/2018,vs Dickinson,W,1-0,(9-7),,104,Rachel Richards (0),fhockey
