,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
115,9/08/2018,Stockton,W,5,57,20,137,0.27,53,9,6,11,61,1,10,1,6.0,4,72.0,volleyball
116,9/08/2018,Neumann,W,3,40,17,114,0.202,40,6,7,9,56,1,6,0,4.0,1,50.0,volleyball
117,9/14/2018,Carnegie Mellon,L,5,69,28,216,0.19,66,7,9,7,101,0,2,2,1.0,2,77.0,volleyball
118,9/15/2018,Franklin & Marshall,L,4,42,17,124,0.202,39,4,6,11,59,3,2,0,4.0,2,50.0,volleyball
119,9/15/2018,SUNY Cortland,W,4,55,18,161,0.23,52,13,8,5,80,1,3,0,2.5,0,70.5,volleyball
120,9/19/2018,Haverford,W,4,50,27,177,0.13,47,7,6,6,104,0,6,1,3.0,3,60.0,volleyball
121,9/22/2018,at Dickinson,W,5,66,28,209,0.182,59,6,7,7,113,1,8,0,5.0,0,77.0,volleyball
122,9/28/2018,at St. Thomas,L,4,51,15,158,0.228,50,3,11,6,77,0,16,4,8.0,2,62.0,volleyball
123,9/29/2018,vs St. Olaf,W,5,57,19,149,0.255,56,7,11,4,53,2,10,1,7.0,1,71.0,volleyball
124,9/29/2018,at Bethel,L,5,54,35,190,0.1,53,6,7,7,91,2,4,0,4.0,3,64.0,volleyball
125,10/03/2018,at Bryn Mawr,W,3,40,6,87,0.391,38,10,10,4,35,2,4,2,4.0,4,54.0,volleyball
126,10/06/2018,Johns Hopkins,L,3,22,13,92,0.098,20,6,1,8,45,0,6,5,3.0,5,31.0,volleyball
127,10/10/2018,at Ursinus,W,3,39,9,85,0.353,36,7,5,11,52,0,4,0,2.0,0,48.0,volleyball
128,10/13/2018,at Gettysburg,W,4,59,29,175,0.171,57,4,8,7,81,0,10,0,5.0,2,68.0,volleyball
129,10/16/2018,at Kean,W,4,60,21,157,0.248,57,8,11,4,80,1,10,1,6.0,3,74.0,volleyball
130,10/18/2018,at Moravian,W,3,40,6,89,0.382,36,6,5,3,41,1,8,0,5.0,5,51.0,volleyball
131,10/20/2018,McDaniel,L,4,45,20,172,0.145,45,4,5,9,92,0,10,2,5.0,3,54.0,volleyball
132,10/20/2018,DeSales,W,4,65,23,195,0.215,62,9,6,7,97,2,9,1,6.5,1,80.5,volleyball
133,10/24/2018,Swarthmore,W,4,49,22,160,0.169,44,5,8,5,73,2,2,1,3.0,2,57.0,volleyball
134,10/27/2018,at Washington College,W,3,36,22,119,0.118,36,5,5,2,45,0,6,1,3.0,1,44.0,volleyball
135,10/31/2018,at McDaniel,L,3,26,20,122,0.049,21,3,4,9,59,0,6,0,3.0,8,32.0,volleyball
136,,Muhlenberg,,110,1367,536,4150,0.2,1294,197,190,181,2026,28,194,26,125.0,67,1689.0,volleyball
137,,Opponents,,110,1259,601,4093,0.161,1156,179,204,189,1880,39,232,37,155.0,57,1593.0,volleyball
138,9/01/2017,vs Penn State Altoona,W,3,27,7,75,0.267,27,11,9,2,36,1,6,0,4.0,0,42.0,volleyball
139,9/01/2017,vs Hood,W,3,37,14,98,0.235,37,7,6,3,51,0,6,0,3.0,2,47.0,volleyball
140,9/02/2017,vs St. Mary's (Md.),W,4,45,18,131,0.206,45,14,17,9,65,1,6,2,4.0,1,63.0,volleyball
141,9/02/2017,vs Bethany (W.Va.),W,4,48,17,145,0.214,44,11,12,4,76,2,8,2,6.0,0,65.0,volleyball
142,9/06/2017,at FDU-Florham,W,3,44,18,122,0.213,39,6,8,2,64,0,10,2,5.0,2,55.0,volleyball
143,9/08/2017,SUNY Cortland,W,3,43,16,106,0.255,41,10,7,1,47,2,0,0,2.0,1,55.0,volleyball
144,9/08/2017,Stevenson,L,5,50,29,192,0.109,45,4,12,4,80,2,8,0,6.0,2,60.0,volleyball
145,9/09/2017,Virginia Wesleyan,W,4,52,21,135,0.23,49,11,5,9,75,2,12,1,8.0,0,71.0,volleyball
146,9/09/2017,Cabrini,L,3,31,18,114,0.114,30,4,11,4,55,1,0,0,1.0,0,36.0,volleyball
147,9/13/2017,Moravian,W,3,38,16,121,0.182,33,5,7,2,61,0,10,1,5.0,1,48.0,volleyball
148,9/16/2017,Stockton,W,5,67,30,177,0.209,61,10,8,6,72,2,22,1,13.0,1,90.0,volleyball
149,9/16/2017,Scranton,W,5,43,29,172,0.081,42,12,9,6,80,4,14,0,11.0,2,66.0,volleyball
150,9/20/2017,at Haverford,W,4,53,22,160,0.194,48,11,7,6,76,0,6,0,3.0,2,67.0,volleyball
151,9/23/2017,Dickinson,W,3,43,12,112,0.277,42,5,4,8,63,0,12,2,6.0,2,54.0,volleyball
152,9/23/2017,DeSales,W,5,65,25,192,0.208,59,7,14,4,83,1,12,1,7.0,4,79.0,volleyball
153,9/26/2017,at Susquehanna,W,4,51,22,161,0.18,47,7,9,8,61,2,8,1,6.0,0,64.0,volleyball
154,9/29/2017,at Ramapo,W,4,52,25,153,0.176,48,11,8,2,70,1,12,0,7.0,2,70.0,volleyball
155,9/30/2017,vs Lebanon Valley,W,5,58,28,153,0.196,56,11,8,7,62,0,10,3,5.0,2,74.0,volleyball
156,9/30/2017,vs Union,W,3,37,6,99,0.313,36,7,9,4,47,2,10,1,7.0,2,51.0,volleyball
157,10/04/2017,Bryn Mawr,W,3,33,12,65,0.323,30,20,8,4,31,0,10,0,5.0,4,58.0,volleyball
158,10/07/2017,at Johns Hopkins,L,3,19,12,59,0.119,18,2,5,18,25,0,2,0,1.0,0,22.0,volleyball
159,10/11/2017,Ursinus,W,3,35,12,99,0.232,34,9,10,2,44,2,8,0,6.0,1,50.0,volleyball
160,10/14/2017,Gettysburg,W,3,48,8,107,0.374,45,4,12,3,54,3,6,3,6.0,4,58.0,volleyball
161,10/14/2017,Clarkson,L,5,58,24,210,0.162,56,6,7,14,108,2,12,1,8.0,1,72.0,volleyball
162,10/18/2017,at Franklin & Marshall,W,4,55,19,156,0.231,48,4,6,12,81,0,2,1,1.0,0,60.0,volleyball
163,10/21/2017,at McDaniel,W,4,53,21,152,0.211,46,7,10,9,67,0,14,0,7.0,7,67.0,volleyball
164,10/21/2017,vs Lancaster Bible,W,4,47,18,118,0.246,43,13,13,4,65,2,12,1,8.0,6,68.0,volleyball
165,10/25/2017,at Swarthmore,L,3,39,13,120,0.217,39,2,7,4,59,1,8,1,5.0,0,46.0,volleyball
166,10/28/2017,Washington College,W,3,42,13,103,0.282,39,7,6,5,47,0,10,0,5.0,2,54.0,volleyball
167,11/04/2017,vs Swarthmore,L,4,60,18,171,0.246,58,5,16,6,85,1,12,1,7.0,0,72.0,volleyball
168,,Muhlenberg,,112,1373,543,3978,0.209,1285,243,270,172,1890,34,268,25,168.0,51,1784.0,volleyball
169,,Opponents,,112,1142,572,3812,0.15,1076,171,188,243,1880,32,226,36,145.0,65,1458.0,volleyball
170,9/02/2016,vs Eastern,L,3,19,16,77,0.039,17,7,10,10,30,0,6,1,3.0,2,29.0,volleyball
171,9/02/2016,vs Emmanuel,W,3,30,16,86,0.163,25,18,5,7,30,0,6,2,3.0,0,51.0,volleyball
172,9/03/2016,at Rowan,W,5,56,27,169,0.172,51,9,12,5,71,4,8,0,8.0,0,73.0,volleyball
173,9/03/2016,vs Widener,W,3,30,13,91,0.187,30,9,9,2,56,1,4,1,3.0,1,42.0,volleyball
174,9/09/2016,Cabrini,W,3,46,11,131,0.267,44,10,4,6,74,1,8,0,5.0,0,61.0,volleyball
175,9/09/2016,Marymount,W,3,42,14,108,0.259,39,8,7,4,50,1,8,0,5.0,0,55.0,volleyball
176,9/10/2016,Scranton,L,5,55,19,162,0.222,54,9,11,6,73,4,12,1,10.0,2,74.0,volleyball
177,9/10/2016,Ithaca,L,3,30,13,92,0.185,26,1,7,8,38,1,8,0,5.0,4,36.0,volleyball
178,9/14/2016,at Moravian,W,3,40,10,118,0.254,32,8,8,3,51,1,8,0,5.0,3,53.0,volleyball
179,9/17/2016,McDaniel,W,3,41,15,123,0.211,40,9,10,3,66,3,8,0,7.0,0,57.0,volleyball
180,9/17/2016,Kean,W,3,42,12,101,0.297,40,9,6,2,47,0,8,3,4.0,1,55.0,volleyball
181,9/20/2016,at Elizabethtown,W,3,44,14,99,0.303,42,6,7,4,43,2,8,0,6.0,5,56.0,volleyball
182,9/23/2016,at Johns Hopkins,L,3,27,17,83,0.12,23,4,10,7,35,1,4,0,3.0,0,34.0,volleyball
183,9/28/2016,Dickinson,W,4,55,24,159,0.195,50,8,9,3,79,2,8,0,6.0,1,69.0,volleyball
184,10/01/2016,at Washington College,W,5,62,34,206,0.136,59,12,14,8,110,0,18,1,9.0,2,83.0,volleyball
185,10/05/2016,at Bryn Mawr,W,4,58,22,153,0.235,54,9,15,4,62,2,2,0,3.0,1,70.0,volleyball
186,10/07/2016,vs Whittier,L,3,32,22,120,0.083,31,4,7,3,51,1,6,2,4.0,2,40.0,volleyball
