,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
173,4/13/2019,at,McDaniel,W,9-4,35,9,10,8,3,1,0,5,1,0,1,0,2,0,0,4,27,7,2,0.286,baseball
174,4/13/2019,at,McDaniel,W,16-6,48,16,19,15,7,0,1,9,0,4,0,0,0,0,0,8,27,8,2,0.396,baseball
175,4/14/2019,,Swarthmore,W,6-5,37,6,11,5,1,0,0,2,0,1,0,1,0,0,1,6,27,11,0,0.297,baseball
176,4/16/2019,,Ursinus,L,4-6,35,4,12,4,4,0,0,1,0,0,1,0,3,1,0,4,27,6,0,0.343,baseball
177,4/18/2019,at,Ursinus,L,9-22,39,9,13,8,3,0,0,6,0,1,1,2,0,0,0,2,24,6,3,0.333,baseball
178,4/20/2019,at,Washington College,L,5-8,38,5,9,5,3,0,0,3,0,0,0,0,0,0,0,8,27,7,1,0.237,baseball
179,4/20/2019,at,Washington College,W,3-2,29,3,6,3,0,0,2,2,0,1,0,1,0,0,0,3,27,8,0,0.207,baseball
180,4/23/2019,at,Dickinson,W,13-4,42,13,15,11,3,1,0,8,0,0,0,2,0,1,0,6,27,12,2,0.357,baseball
181,4/24/2019,at,Scranton,L,5-7,33,5,9,4,2,0,0,3,0,0,1,0,1,1,1,8,24,13,1,0.273,baseball
182,4/27/2019,at,Gettysburg,W,9-8,58,9,17,8,3,1,0,10,2,1,0,0,2,0,0,15,42,13,0,0.293,baseball
183,4/27/2019,at,Gettysburg,L,6-7,33,6,7,5,2,0,0,6,0,0,1,0,1,1,0,4,24,10,2,0.212,baseball
184,4/29/2019,,Dickinson,W,10-1,34,10,10,8,2,0,0,11,0,0,0,1,0,0,0,9,27,11,1,0.294,baseball
185,5/2/2019,at,Johns Hopkins,L,4-14,36,4,10,4,4,0,0,2,0,0,0,1,0,0,1,7,24,9,2,0.278,baseball
186,5/4/2019,vs,Haverford,L,2-4,32,2,7,1,1,0,1,6,0,1,0,0,1,0,1,2,24,6,0,0.219,baseball
187,Total,,,,230-250,1358,230,402,210,90,8,18,148,6,26,14,18,29,8,21,222,1002,375,51,,baseball
188,2/24/2018,,Southern Vt.,W,8-0,31,8,9,8,3,0,0,8,0,4,0,3,1,1,0,6,27,11,1,0.29,baseball
189,2/24/2018,at,Gallaudet,W,12-4,36,12,13,9,4,0,1,5,0,4,0,0,0,2,0,6,27,12,3,0.361,baseball
190,2/25/2018,vs,Marymount (Va.),W,5-4,36,5,7,5,2,0,2,5,0,0,0,2,2,0,0,9,30,12,1,0.194,baseball
191,3/3/2018,at,Roanoke,L,3-13,31,3,6,3,1,0,0,7,0,0,1,1,1,0,2,6,24,7,1,0.194,baseball
192,3/3/2018,at,Roanoke,L,4-12,35,4,8,3,1,0,0,3,0,0,0,2,0,0,1,5,24,11,1,0.229,baseball
193,3/4/2018,at,Roanoke,L,3-4,31,3,7,2,3,0,0,4,0,0,0,1,1,0,2,9,26,6,1,0.226,baseball
194,3/6/2018,vs,Emerson,L,5-7,27,5,6,5,2,2,0,6,0,2,1,0,0,1,0,9,21,15,1,0.222,baseball
195,3/6/2018,vs,Emerson,L,3-4,30,3,8,2,0,0,0,4,0,1,1,2,0,1,1,1,22,6,2,0.267,baseball
